City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
102,Sholapur,IN,77.16,light rain,17.6833,75.9167,OYO 39761 Mayura
103,Washington,US,78.19,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
104,Hambantota,LK,78.75,overcast clouds,6.1241,81.1185,Bungalow 63
115,Touros,BR,78.03,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
116,Igbo Ora,NG,75.51,broken clouds,7.4333,3.2833,Pinkbell Inn
121,Tarakan,ID,78.01,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
127,East London,ZA,74.34,broken clouds,-33.0153,27.9116,Tu Casa
131,Gasa,PS,73.09,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
134,Bengkulu,ID,74.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,Pampierstad,ZA,71.73,scattered clouds,-27.7832,24.6877,BAROLONG METHODIST CHURCH
142,Itoman,JP,73.78,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
145,Kalmunai,LK,78.75,heavy intensity rain,7.4167,81.8167,VS Villa
151,Gladstone,AU,71.53,moderate rain,-23.85,151.25,Highpoint International Hotel
154,Sorong,ID,78.21,broken clouds,-0.8833,131.25,Waigo Splash Hotel
159,Poum,NC,76.23,scattered clouds,-20.2333,164.0167,
160,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
161,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
165,Gwanda,ZW,71.1,clear sky,-20.9333,29.0,Mafax Homeways
169,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
170,Bilma,NE,78.64,clear sky,18.6853,12.9164,Expeditions Ténére voyages
171,Chake Chake,TZ,73.71,few clouds,-5.2459,39.7666,Pemba Sea View Hotel
178,Aripuana,BR,77.13,moderate rain,-9.1667,-60.6333,
186,Bowen,AU,76.96,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
188,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
191,Ishigaki,JP,75.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
196,Ponta Do Sol,PT,74.03,overcast clouds,32.6667,-17.1,Hotel do Campo
199,Bam,IR,71.85,clear sky,29.106,58.357,Bam Tourist Hotel
207,Jalu,LY,71.83,broken clouds,29.0331,21.5482,صاحبة الفخامة
209,Meulaboh,ID,75.2,overcast clouds,4.1363,96.1285,Kost Pria
216,Weligama,LK,76.35,overcast clouds,5.9667,80.4167,Weligama Bay Resort
217,Ponnani,IN,74.52,broken clouds,10.767,75.9252,Rouba Residency
218,Padilla,CO,71.17,overcast clouds,3.2204,-76.3139,La Granadina
222,Arraial Do Cabo,BR,73.26,light rain,-22.9661,-42.0278,Pousada Porto Praia
231,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
234,Poso,ID,77.79,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
